concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,org:group,case:concept:name,case:variant,case:variant-index,case:creator
Completed-Closed,complete,Lars-Org line A2,2012-03-28 11:38:51+00:00,Completed-Closed,Lars,Org line A2,1-697811404,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Srinivasan-Org line B,2011-12-12 11:50:27+00:00,Accepted-In Progress,Srinivasan,Org line B,1-622154016,Variant 241,241,Fluxicon Disco
Accepted-In Progress,complete,Srinivasan-Org line B,2011-12-12 11:53:05+00:00,Accepted-In Progress,Srinivasan,Org line B,1-622154016,Variant 241,241,Fluxicon Disco
Accepted-In Progress,complete,Srinivasan-Org line B,2011-12-12 11:53:19+00:00,Accepted-In Progress,Srinivasan,Org line B,1-622154016,Variant 241,241,Fluxicon Disco
Queued-Awaiting Assignment,complete,Srinivasan-Org line B,2011-12-12 11:53:34+00:00,Queued-Awaiting Assignment,Srinivasan,Org line B,1-622154016,Variant 241,241,Fluxicon Disco
Accepted-In Progress,complete,Aneesh V-Org line B,2011-12-12 15:29:16+00:00,Accepted-In Progress,Aneesh V,Org line B,1-622154016,Variant 241,241,Fluxicon Disco
Queued-Awaiting Assignment,complete,Grzegorz-Org line C,2011-12-12 15:31:14+00:00,Queued-Awaiting Assignment,Grzegorz,Org line C,1-622154016,Variant 241,241,Fluxicon Disco
Accepted-In Progress,complete,Grzegorz-Org line C,2011-12-12 16:41:11+00:00,Accepted-In Progress,Grzegorz,Org line C,1-622154016,Variant 241,241,Fluxicon Disco
Accepted-Wait,complete,Grzegorz-Org line C,2011-12-12 16:41:18+00:00,Accepted-Wait,Grzegorz,Org line C,1-622154016,Variant 241,241,Fluxicon Disco
Accepted-Assigned,complete,Krystian-Org line C,2011-12-27 11:52:13+00:00,Accepted-Assigned,Krystian,Org line C,1-622154016,Variant 241,241,Fluxicon Disco
Queued-Awaiting Assignment,complete,Shankar-Org line C,2012-02-20 17:56:48+00:00,Queued-Awaiting Assignment,Shankar,Org line C,1-622154016,Variant 241,241,Fluxicon Disco
Accepted-In Progress,complete,M Humaira-Org line C,2012-02-21 07:07:04+00:00,Accepted-In Progress,M Humaira,Org line C,1-622154016,Variant 241,241,Fluxicon Disco
Accepted-In Progress,complete,Dheeraj-Org line C,2012-02-21 11:07:45+00:00,Accepted-In Progress,Dheeraj,Org line C,1-622154016,Variant 241,241,Fluxicon Disco
Accepted-Wait,complete,Dheeraj-Org line C,2012-02-21 11:07:56+00:00,Accepted-Wait,Dheeraj,Org line C,1-622154016,Variant 241,241,Fluxicon Disco
Accepted-In Progress,complete,Mahesh-Org line C,2012-02-28 09:18:13+00:00,Accepted-In Progress,Mahesh,Org line C,1-622154016,Variant 241,241,Fluxicon Disco
Queued-Awaiting Assignment,complete,Srinivasan-Org line B,2012-02-28 09:19:08+00:00,Queued-Awaiting Assignment,Srinivasan,Org line B,1-622154016,Variant 241,241,Fluxicon Disco
Accepted-In Progress,complete,Rijin-Org line B,2012-02-28 09:36:29+00:00,Accepted-In Progress,Rijin,Org line B,1-622154016,Variant 241,241,Fluxicon Disco
Completed-Closed,complete,Rijin-Org line B,2012-03-01 10:05:51+00:00,Completed-Closed,Rijin,Org line B,1-622154016,Variant 241,241,Fluxicon Disco
Accepted-In Progress,complete,Katarina-Org line G4,2012-02-10 07:52:07+00:00,Accepted-In Progress,Katarina,Org line G4,1-664579051,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Katarina-Org line G4,2012-02-29 13:32:49+00:00,Completed-Closed,Katarina,Org line G4,1-664579051,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Björn-Org line V2,2012-01-17 12:06:28+00:00,Accepted-In Progress,Björn,Org line V2,1-643532122,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Björn-Org line V2,2012-05-29 06:31:47+00:00,Completed-Closed,Björn,Org line V2,1-643532122,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Henrik-Org line C,2011-11-09 08:17:08+00:00,Accepted-In Progress,Henrik,Org line C,1-605034229,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Henrik-Org line C,2011-11-09 08:17:58+00:00,Accepted-Wait,Henrik,Org line C,1-605034229,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Henrik-Org line C,2012-01-18 12:50:24+00:00,Completed-Closed,Henrik,Org line C,1-605034229,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Jonas-Org line C,2011-05-03 05:29:33+00:00,Accepted-In Progress,Jonas,Org line C,1-522460624,Variant 29,29,Fluxicon Disco
Queued-Awaiting Assignment,complete,Jonas-Org line C,2011-05-03 05:31:51+00:00,Queued-Awaiting Assignment,Jonas,Org line C,1-522460624,Variant 29,29,Fluxicon Disco
Accepted-In Progress,complete,Karthick-Org line C,2011-11-21 10:49:53+00:00,Accepted-In Progress,Karthick,Org line C,1-522460624,Variant 29,29,Fluxicon Disco
Accepted-Assigned,complete,Mahesh-Org line C,2011-11-21 10:50:05+00:00,Accepted-Assigned,Mahesh,Org line C,1-522460624,Variant 29,29,Fluxicon Disco
Accepted-Wait,complete,Mahesh-Org line C,2012-01-11 07:31:45+00:00,Accepted-Wait,Mahesh,Org line C,1-522460624,Variant 29,29,Fluxicon Disco
Completed-Closed,complete,Mahesh-Org line C,2012-01-11 07:32:11+00:00,Completed-Closed,Mahesh,Org line C,1-522460624,Variant 29,29,Fluxicon Disco
Accepted-In Progress,complete,Peter-Org line C,2012-03-12 14:23:15+00:00,Accepted-In Progress,Peter,Org line C,1-696097603,Variant 295,295,Fluxicon Disco
Queued-Awaiting Assignment,complete,Peter-Org line C,2012-03-12 14:38:33+00:00,Queued-Awaiting Assignment,Peter,Org line C,1-696097603,Variant 295,295,Fluxicon Disco
Accepted-In Progress,complete,Peter-Org line C,2012-03-26 07:04:36+00:00,Accepted-In Progress,Peter,Org line C,1-696097603,Variant 295,295,Fluxicon Disco
Accepted-Assigned,complete,Lars-Erik-Org line C,2012-03-26 07:04:48+00:00,Accepted-Assigned,Lars-Erik,Org line C,1-696097603,Variant 295,295,Fluxicon Disco
Queued-Awaiting Assignment,complete,Peter-Org line C,2012-03-28 11:58:35+00:00,Queued-Awaiting Assignment,Peter,Org line C,1-696097603,Variant 295,295,Fluxicon Disco
Accepted-In Progress,complete,Björn-Org line C,2012-03-28 11:59:16+00:00,Accepted-In Progress,Björn,Org line C,1-696097603,Variant 295,295,Fluxicon Disco
Accepted-Assigned,complete,Lars-Erik-Org line C,2012-03-28 11:59:26+00:00,Accepted-Assigned,Lars-Erik,Org line C,1-696097603,Variant 295,295,Fluxicon Disco
Accepted-In Progress,complete,Björn-Org line C,2012-03-28 12:00:05+00:00,Accepted-In Progress,Björn,Org line C,1-696097603,Variant 295,295,Fluxicon Disco
Queued-Awaiting Assignment,complete,Peter-Org line C,2012-03-28 12:00:23+00:00,Queued-Awaiting Assignment,Peter,Org line C,1-696097603,Variant 295,295,Fluxicon Disco
Accepted-Assigned,complete,Lars-Erik-Org line C,2012-03-28 12:00:51+00:00,Accepted-Assigned,Lars-Erik,Org line C,1-696097603,Variant 295,295,Fluxicon Disco
Accepted-Wait,complete,Lars-Erik-Org line C,2012-03-30 08:54:57+00:00,Accepted-Wait,Lars-Erik,Org line C,1-696097603,Variant 295,295,Fluxicon Disco
Completed-Closed,complete,Lars-Erik-Org line C,2012-04-26 06:28:41+00:00,Completed-Closed,Lars-Erik,Org line C,1-696097603,Variant 295,295,Fluxicon Disco
Accepted-In Progress,complete,Kåre_OLD-Org line C,2011-06-30 18:50:49+00:00,Accepted-In Progress,Kåre_OLD,Org line C,1-538109148,Variant 170,170,Fluxicon Disco
Accepted-Assigned,complete,Kåre_OLD-Org line C,2011-08-11 11:58:58+00:00,Accepted-Assigned,Kåre_OLD,Org line C,1-538109148,Variant 170,170,Fluxicon Disco
Accepted-Assigned,complete,Karin-Org line C,2011-08-16 09:33:12+00:00,Accepted-Assigned,Karin,Org line C,1-538109148,Variant 170,170,Fluxicon Disco
Accepted-Assigned,complete,Rikard-Org line C,2011-08-16 09:33:56+00:00,Accepted-Assigned,Rikard,Org line C,1-538109148,Variant 170,170,Fluxicon Disco
Accepted-In Progress,complete,Rikard-Org line C,2011-12-14 15:02:20+00:00,Accepted-In Progress,Rikard,Org line C,1-538109148,Variant 170,170,Fluxicon Disco
Accepted-In Progress,complete,Peter-Org line C,2012-01-17 14:39:10+00:00,Accepted-In Progress,Peter,Org line C,1-538109148,Variant 170,170,Fluxicon Disco
Completed-Closed,complete,Peter-Org line C,2012-01-17 14:39:21+00:00,Completed-Closed,Peter,Org line C,1-538109148,Variant 170,170,Fluxicon Disco
Accepted-In Progress,complete,Torbjörn-Org line G4,2011-12-09 09:00:42+00:00,Accepted-In Progress,Torbjörn,Org line G4,1-621369891,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Torbjörn-Org line G4,2012-01-03 07:43:57+00:00,Completed-Closed,Torbjörn,Org line G4,1-621369891,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Marlene-Org line G4,2012-03-30 09:48:22+00:00,Accepted-In Progress,Marlene,Org line G4,1-705821921,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Marlene-Org line G4,2012-03-30 09:49:09+00:00,Completed-Closed,Marlene,Org line G4,1-705821921,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line C,2012-01-16 12:22:39+00:00,Accepted-In Progress,Tomas,Org line C,1-642579219,Variant 258,258,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line C,2012-01-16 12:26:41+00:00,Accepted-In Progress,Tomas,Org line C,1-642579219,Variant 258,258,Fluxicon Disco
Queued-Awaiting Assignment,complete,Emil-Org line C,2012-01-30 13:17:03+00:00,Queued-Awaiting Assignment,Emil,Org line C,1-642579219,Variant 258,258,Fluxicon Disco
Accepted-Assigned,complete,Lars-Olof-Org line C,2012-05-16 08:27:02+00:00,Accepted-Assigned,Lars-Olof,Org line C,1-642579219,Variant 258,258,Fluxicon Disco
Accepted-In Progress,complete,Lars-Olof-Org line C,2012-05-31 13:44:28+00:00,Accepted-In Progress,Lars-Olof,Org line C,1-642579219,Variant 258,258,Fluxicon Disco
Completed-Closed,complete,Lars-Olof-Org line C,2012-05-31 13:48:28+00:00,Completed-Closed,Lars-Olof,Org line C,1-642579219,Variant 258,258,Fluxicon Disco
Queued-Awaiting Assignment,complete,Robert-Org line C,2012-04-13 16:20:12+00:00,Queued-Awaiting Assignment,Robert,Org line C,1-718056641,Variant 315,315,Fluxicon Disco
Accepted-Assigned,complete,Christy-Org line C,2012-04-13 19:09:17+00:00,Accepted-Assigned,Christy,Org line C,1-718056641,Variant 315,315,Fluxicon Disco
Completed-Closed,complete,Christy-Org line C,2012-05-11 20:00:27+00:00,Completed-Closed,Christy,Org line C,1-718056641,Variant 315,315,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line V2,2011-12-22 09:26:34+00:00,Accepted-In Progress,Tomas,Org line V2,1-627980711,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Tomas-Org line V2,2012-02-01 14:40:27+00:00,Completed-Closed,Tomas,Org line V2,1-627980711,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Göran-Org line G4,2012-01-10 09:07:38+00:00,Accepted-In Progress,Göran,Org line G4,1-637685994,Variant 12,12,Fluxicon Disco
Completed-Closed,complete,Göran-Org line G4,2012-03-19 10:17:49+00:00,Completed-Closed,Göran,Org line G4,1-637685994,Variant 12,12,Fluxicon Disco
Accepted-In Progress,complete,Göran-Org line G4,2012-03-26 13:03:30+00:00,Accepted-In Progress,Göran,Org line G4,1-637685994,Variant 12,12,Fluxicon Disco
Completed-Closed,complete,Göran-Org line G4,2012-05-19 12:58:35+00:00,Completed-Closed,Göran,Org line G4,1-637685994,Variant 12,12,Fluxicon Disco
Accepted-In Progress,complete,Viktoria-Org line A2,2012-05-03 15:00:53+00:00,Accepted-In Progress,Viktoria,Org line A2,1-739695919,Variant 323,323,Fluxicon Disco
Queued-Awaiting Assignment,complete,Viktoria-Org line A2,2012-05-03 16:35:20+00:00,Queued-Awaiting Assignment,Viktoria,Org line A2,1-739695919,Variant 323,323,Fluxicon Disco
Queued-Awaiting Assignment,complete,Peter-Org line C,2012-05-04 09:35:45+00:00,Queued-Awaiting Assignment,Peter,Org line C,1-739695919,Variant 323,323,Fluxicon Disco
Accepted-In Progress,complete,Peter-Org line C,2012-05-06 17:27:57+00:00,Accepted-In Progress,Peter,Org line C,1-739695919,Variant 323,323,Fluxicon Disco
Accepted-In Progress,complete,Peter-Org line C,2012-05-08 11:51:42+00:00,Accepted-In Progress,Peter,Org line C,1-739695919,Variant 323,323,Fluxicon Disco
Queued-Awaiting Assignment,complete,Praveen-Org line C,2012-05-08 12:24:52+00:00,Queued-Awaiting Assignment,Praveen,Org line C,1-739695919,Variant 323,323,Fluxicon Disco
Queued-Awaiting Assignment,complete,Martin-Org line C,2012-05-10 12:25:04+00:00,Queued-Awaiting Assignment,Martin,Org line C,1-739695919,Variant 323,323,Fluxicon Disco
Accepted-In Progress,complete,Pascal-Org line C,2012-05-11 08:41:18+00:00,Accepted-In Progress,Pascal,Org line C,1-739695919,Variant 323,323,Fluxicon Disco
Completed-Closed,complete,Pascal-Org line C,2012-05-16 13:22:25+00:00,Completed-Closed,Pascal,Org line C,1-739695919,Variant 323,323,Fluxicon Disco
Accepted-In Progress,complete,Pascal-Org line C,2012-05-29 11:10:03+00:00,Accepted-In Progress,Pascal,Org line C,1-739695919,Variant 323,323,Fluxicon Disco
Completed-Closed,complete,Pascal-Org line C,2012-05-29 11:17:45+00:00,Completed-Closed,Pascal,Org line C,1-739695919,Variant 323,323,Fluxicon Disco
Accepted-In Progress,complete,Dan-Org line C,2012-01-13 09:45:27+00:00,Accepted-In Progress,Dan,Org line C,1-641104060,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Dan-Org line C,2012-01-13 10:32:14+00:00,Queued-Awaiting Assignment,Dan,Org line C,1-641104060,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Dan-Org line C,2012-03-02 09:15:13+00:00,Accepted-In Progress,Dan,Org line C,1-641104060,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Dan-Org line C,2012-03-02 09:30:45+00:00,Completed-Closed,Dan,Org line C,1-641104060,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Sridhar-Org line A2,2011-11-30 08:24:37+00:00,Accepted-In Progress,Sridhar,Org line A2,1-618170625,Variant 14,14,Fluxicon Disco
Accepted-Assigned,complete,Sridhar-Org line A2,2011-12-05 07:49:27+00:00,Accepted-Assigned,Sridhar,Org line A2,1-618170625,Variant 14,14,Fluxicon Disco
Accepted-Wait,complete,Sridhar-Org line A2,2012-01-16 13:32:11+00:00,Accepted-Wait,Sridhar,Org line A2,1-618170625,Variant 14,14,Fluxicon Disco
Completed-Closed,complete,Sridhar-Org line A2,2012-02-27 12:04:26+00:00,Completed-Closed,Sridhar,Org line A2,1-618170625,Variant 14,14,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-05-13 12:14:59+00:00,Accepted-In Progress,Carolyn,Org line G3,1-525489753,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-05-13 12:21:52+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-525489753,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-05-16 05:15:26+00:00,Accepted-In Progress,Padmanabha,Org line G3,1-525489753,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-05-16 05:15:33+00:00,Accepted-Assigned,Carolyn,Org line G3,1-525489753,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-06 20:20:01+00:00,Accepted-In Progress,Ewa,Org line G3,1-525489753,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-06 20:20:56+00:00,Completed-Closed,Ewa,Org line G3,1-525489753,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Craig-Org line F,2012-02-06 17:01:49+00:00,Accepted-In Progress,Craig,Org line F,1-659718901,Variant 35,35,Fluxicon Disco
Accepted-In Progress,complete,Craig-Org line F,2012-02-06 17:26:03+00:00,Accepted-In Progress,Craig,Org line F,1-659718901,Variant 35,35,Fluxicon Disco
Accepted-In Progress,complete,Craig-Org line F,2012-02-08 15:27:59+00:00,Accepted-In Progress,Craig,Org line F,1-659718901,Variant 35,35,Fluxicon Disco
Accepted-In Progress,complete,Kevin-Org line C,2012-05-07 16:11:25+00:00,Accepted-In Progress,Kevin,Org line C,1-659718901,Variant 35,35,Fluxicon Disco
Completed-Closed,complete,Kevin-Org line C,2012-05-07 16:16:40+00:00,Completed-Closed,Kevin,Org line C,1-659718901,Variant 35,35,Fluxicon Disco
Accepted-In Progress,complete,Karel-Org line C,2011-08-01 12:04:46+00:00,Accepted-In Progress,Karel,Org line C,1-544527205,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Karel-Org line C,2011-10-05 10:18:40+00:00,Accepted-Wait,Karel,Org line C,1-544527205,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Karel-Org line C,2012-02-06 14:05:47+00:00,Completed-Closed,Karel,Org line C,1-544527205,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-03-07 20:14:33+00:00,Accepted-In Progress,Carolyn,Org line G3,1-506236591,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-03-07 20:38:09+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-506236591,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-03-18 09:57:59+00:00,Accepted-In Progress,Padmanabha,Org line G3,1-506236591,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-03-18 09:58:09+00:00,Accepted-Assigned,Carolyn,Org line G3,1-506236591,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-30 11:57:11+00:00,Accepted-In Progress,Ewa,Org line G3,1-506236591,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 11:57:18+00:00,Completed-Closed,Ewa,Org line G3,1-506236591,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Håkan-Org line G4,2011-09-28 07:32:35+00:00,Accepted-In Progress,Håkan,Org line G4,1-578579972,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Håkan-Org line G4,2012-01-16 09:22:21+00:00,Completed-Closed,Håkan,Org line G4,1-578579972,Variant 1,1,Fluxicon Disco
Queued-Awaiting Assignment,complete,Rakesh-Org line C,2012-05-01 12:55:13+00:00,Queued-Awaiting Assignment,Rakesh,Org line C,1-737341073,Variant 22,22,Fluxicon Disco
Accepted-In Progress,complete,Ruchi-Org line C,2012-05-01 12:59:48+00:00,Accepted-In Progress,Ruchi,Org line C,1-737341073,Variant 22,22,Fluxicon Disco
Queued-Awaiting Assignment,complete,Jonas-Org line C,2012-05-01 18:45:14+00:00,Queued-Awaiting Assignment,Jonas,Org line C,1-737341073,Variant 22,22,Fluxicon Disco
Accepted-In Progress,complete,Stefan-Org line C,2012-05-02 09:10:57+00:00,Accepted-In Progress,Stefan,Org line C,1-737341073,Variant 22,22,Fluxicon Disco
Completed-Closed,complete,Stefan-Org line C,2012-05-02 09:13:08+00:00,Completed-Closed,Stefan,Org line C,1-737341073,Variant 22,22,Fluxicon Disco
Accepted-Assigned,complete,Per-Eric-Org line A2,2012-02-14 11:37:01+00:00,Accepted-Assigned,Per-Eric,Org line A2,1-673197539,Variant 272,272,Fluxicon Disco
Accepted-Wait,complete,Per-Eric-Org line A2,2012-02-14 11:39:35+00:00,Accepted-Wait,Per-Eric,Org line A2,1-673197539,Variant 272,272,Fluxicon Disco
Completed-Closed,complete,Per-Eric-Org line A2,2012-02-16 14:44:17+00:00,Completed-Closed,Per-Eric,Org line A2,1-673197539,Variant 272,272,Fluxicon Disco
Accepted-In Progress,complete,Lena-Org line A2,2010-03-26 07:24:05+00:00,Accepted-In Progress,Lena,Org line A2,1-363041157,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Lena-Org line A2,2012-03-20 15:16:39+00:00,Completed-Closed,Lena,Org line A2,1-363041157,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-10-13 13:25:40+00:00,Accepted-In Progress,Carolyn,Org line G3,1-408853759,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-10-13 13:27:43+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-408853759,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Kannan-Org line G3,2010-10-13 14:07:09+00:00,Accepted-In Progress,Kannan,Org line G3,1-408853759,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2010-10-13 14:07:14+00:00,Accepted-Assigned,Carolyn,Org line G3,1-408853759,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-04 09:50:38+00:00,Accepted-In Progress,Ewa,Org line G3,1-408853759,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-04 09:53:53+00:00,Completed-Closed,Ewa,Org line G3,1-408853759,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Martin-Org line C,2011-10-27 09:48:01+00:00,Accepted-In Progress,Martin,Org line C,1-596331167,Variant 9,9,Fluxicon Disco
Queued-Awaiting Assignment,complete,Martin-Org line C,2011-10-27 10:25:19+00:00,Queued-Awaiting Assignment,Martin,Org line C,1-596331167,Variant 9,9,Fluxicon Disco
Accepted-In Progress,complete,Claes-Org line C,2011-10-28 09:43:21+00:00,Accepted-In Progress,Claes,Org line C,1-596331167,Variant 9,9,Fluxicon Disco
Accepted-Wait,complete,Claes-Org line C,2011-10-28 09:43:29+00:00,Accepted-Wait,Claes,Org line C,1-596331167,Variant 9,9,Fluxicon Disco
Completed-Closed,complete,Claes-Org line C,2012-01-10 09:10:29+00:00,Completed-Closed,Claes,Org line C,1-596331167,Variant 9,9,Fluxicon Disco
Accepted-In Progress,complete,Ann-Charlotte-Org line A2,2012-04-02 09:41:55+00:00,Accepted-In Progress,Ann-Charlotte,Org line A2,1-706866666,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Ann-Charlotte-Org line A2,2012-04-11 08:26:26+00:00,Completed-Closed,Ann-Charlotte,Org line A2,1-706866666,Variant 1,1,Fluxicon Disco
Accepted-Wait,complete,Tomas-Org line A2,2010-02-16 10:04:37+00:00,Accepted-Wait,Tomas,Org line A2,1-354376900,Variant 74,74,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2011-09-01 22:16:15+00:00,Accepted-In Progress,Tomas,Org line A2,1-354376900,Variant 74,74,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2012-02-01 09:16:03+00:00,Accepted-In Progress,Carrie,Org line A2,1-354376900,Variant 74,74,Fluxicon Disco
Completed-Closed,complete,Carrie-Org line A2,2012-02-01 09:16:53+00:00,Completed-Closed,Carrie,Org line A2,1-354376900,Variant 74,74,Fluxicon Disco
Accepted-In Progress,complete,Roger-Org line C,2012-02-21 07:47:06+00:00,Accepted-In Progress,Roger,Org line C,1-684991415,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Roger-Org line C,2012-04-12 09:05:27+00:00,Completed-Closed,Roger,Org line C,1-684991415,Variant 1,1,Fluxicon Disco
Accepted-Wait,complete,Henrik-Org line A2,2009-10-26 13:47:10+00:00,Accepted-Wait,Henrik,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Unmatched-Unmatched,complete,Henrik-Org line A2,2009-10-27 08:57:26+00:00,Unmatched-Unmatched,Henrik,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Queued-Awaiting Assignment,complete,Henrik-Org line A2,2010-03-02 12:44:22+00:00,Queued-Awaiting Assignment,Henrik,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-In Progress,complete,Katarzyna-Org line A2,2010-03-02 12:46:10+00:00,Accepted-In Progress,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-Wait,complete,Katarzyna-Org line A2,2010-03-02 12:46:18+00:00,Accepted-Wait,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-Assigned,complete,Damian-Org line A2,2011-04-11 07:10:20+00:00,Accepted-Assigned,Damian,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-Assigned,complete,Katarzyna-Org line A2,2011-04-11 07:11:48+00:00,Accepted-Assigned,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-Wait,complete,Katarzyna-Org line A2,2011-11-28 07:21:27+00:00,Accepted-Wait,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-In Progress,complete,Katarzyna-Org line A2,2012-03-30 08:53:50+00:00,Accepted-In Progress,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Completed-Closed,complete,Katarzyna-Org line A2,2012-03-30 08:53:53+00:00,Completed-Closed,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
Accepted-In Progress,complete,Srinivasa-Org line C,2012-02-09 13:08:09+00:00,Accepted-In Progress,Srinivasa,Org line C,1-662956121,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Srinivasa-Org line C,2012-03-26 02:56:59+00:00,Completed-Closed,Srinivasa,Org line C,1-662956121,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Michel-Org line C,2011-12-13 10:27:52+00:00,Accepted-In Progress,Michel,Org line C,1-622856843,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Michel-Org line C,2012-01-24 08:29:10+00:00,Completed-Closed,Michel,Org line C,1-622856843,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Matias-Org line G4,2012-03-19 15:44:57+00:00,Accepted-In Progress,Matias,Org line G4,1-699345697,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Matias-Org line G4,2012-03-22 10:26:33+00:00,Completed-Closed,Matias,Org line G4,1-699345697,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Tord-Org line G4,2010-12-16 08:28:03+00:00,Accepted-In Progress,Tord,Org line G4,1-430793848,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Tord-Org line G4,2012-01-24 13:01:49+00:00,Completed-Closed,Tord,Org line G4,1-430793848,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Inger-Org line C,2011-09-08 09:39:42+00:00,Accepted-In Progress,Inger,Org line C,1-572078531,Variant 64,64,Fluxicon Disco
Queued-Awaiting Assignment,complete,Inger-Org line C,2011-09-08 10:52:27+00:00,Queued-Awaiting Assignment,Inger,Org line C,1-572078531,Variant 64,64,Fluxicon Disco
Accepted-In Progress,complete,Frederic-Org line A2,2011-09-12 09:50:43+00:00,Accepted-In Progress,Frederic,Org line A2,1-572078531,Variant 64,64,Fluxicon Disco
Queued-Awaiting Assignment,complete,Hari-Org line C,2011-09-12 09:51:06+00:00,Queued-Awaiting Assignment,Hari,Org line C,1-572078531,Variant 64,64,Fluxicon Disco
Accepted-In Progress,complete,Gagan-Org line C,2011-09-13 12:34:40+00:00,Accepted-In Progress,Gagan,Org line C,1-572078531,Variant 64,64,Fluxicon Disco
