event,lifecycle:transition,org:resource,completeTime,Activity,Resource,org:group,case,case:variant,case:variant-index,case:creator
Accepted-In Progress,complete,Sivakumar-Org line C,2011-12-14 12:46:39+02:00,Accepted-In Progress,Sivakumar,Org line C,1-623336818,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Sivakumar-Org line C,2012-02-20 09:38:46+02:00,Completed-Closed,Sivakumar,Org line C,1-623336818,Variant 1,1,Fluxicon Disco
Accepted-Wait,complete,Lisbeth-Org line A2,2011-12-14 13:24:49+02:00,Accepted-Wait,Lisbeth,Org line A2,1-623521280,Variant 75,75,Fluxicon Disco
Accepted-In Progress,complete,Lisbeth-Org line A2,2012-02-06 13:02:10+02:00,Accepted-In Progress,Lisbeth,Org line A2,1-623521280,Variant 75,75,Fluxicon Disco
Accepted-Wait,complete,Lisbeth-Org line A2,2012-02-06 18:05:17+02:00,Accepted-Wait,Lisbeth,Org line A2,1-623521280,Variant 75,75,Fluxicon Disco
Completed-Closed,complete,Lisbeth-Org line A2,2012-03-09 16:45:01+02:00,Completed-Closed,Lisbeth,Org line A2,1-623521280,Variant 75,75,Fluxicon Disco
Accepted-In Progress,complete,Lisbeth-Org line A2,2011-12-14 13:27:57+02:00,Accepted-In Progress,Lisbeth,Org line A2,1-623626713,Variant 51,51,Fluxicon Disco
Accepted-Wait,complete,Lisbeth-Org line A2,2011-12-14 13:28:40+02:00,Accepted-Wait,Lisbeth,Org line A2,1-623626713,Variant 51,51,Fluxicon Disco
Accepted-In Progress,complete,Lisbeth-Org line A2,2012-02-07 10:40:27+02:00,Accepted-In Progress,Lisbeth,Org line A2,1-623626713,Variant 51,51,Fluxicon Disco
Accepted-Wait,complete,Lisbeth-Org line A2,2012-02-10 10:13:16+02:00,Accepted-Wait,Lisbeth,Org line A2,1-623626713,Variant 51,51,Fluxicon Disco
Completed-Closed,complete,Lisbeth-Org line A2,2012-03-09 17:16:31+02:00,Completed-Closed,Lisbeth,Org line A2,1-623626713,Variant 51,51,Fluxicon Disco
Accepted-In Progress,complete,Clas-Org line A2,2011-12-14 17:00:50+02:00,Accepted-In Progress,Clas,Org line A2,1-623792185,Variant 62,62,Fluxicon Disco
Queued-Awaiting Assignment,complete,Clas-Org line A2,2011-12-14 17:40:11+02:00,Queued-Awaiting Assignment,Clas,Org line A2,1-623792185,Variant 62,62,Fluxicon Disco
Accepted-In Progress,complete,Piotr-Org line A2,2011-12-16 10:57:47+02:00,Accepted-In Progress,Piotr,Org line A2,1-623792185,Variant 62,62,Fluxicon Disco
Queued-Awaiting Assignment,complete,Frederic-Org line A2,2011-12-28 11:32:53+02:00,Queued-Awaiting Assignment,Frederic,Org line A2,1-623792185,Variant 62,62,Fluxicon Disco
Accepted-In Progress,complete,Maciej-Org line A2,2012-01-02 11:04:41+02:00,Accepted-In Progress,Maciej,Org line A2,1-623792185,Variant 62,62,Fluxicon Disco
Accepted-Wait,complete,Maciej-Org line A2,2012-01-02 11:12:41+02:00,Accepted-Wait,Maciej,Org line A2,1-623792185,Variant 62,62,Fluxicon Disco
Accepted-In Progress,complete,Maciej-Org line A2,2012-01-17 16:20:02+02:00,Accepted-In Progress,Maciej,Org line A2,1-623792185,Variant 62,62,Fluxicon Disco
Completed-Closed,complete,Maciej-Org line A2,2012-01-17 16:21:03+02:00,Completed-Closed,Maciej,Org line A2,1-623792185,Variant 62,62,Fluxicon Disco
Accepted-In Progress,complete,Reine-Org line G4,2011-12-14 17:06:21+02:00,Accepted-In Progress,Reine,Org line G4,1-623859845,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Reine-Org line G4,2012-03-05 11:33:07+02:00,Completed-Closed,Reine,Org line G4,1-623859845,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Rakesh-Org line C,2011-12-14 17:16:05+02:00,Accepted-In Progress,Rakesh,Org line C,1-623873811,Variant 242,242,Fluxicon Disco
Queued-Awaiting Assignment,complete,Rakesh-Org line C,2011-12-14 17:16:44+02:00,Queued-Awaiting Assignment,Rakesh,Org line C,1-623873811,Variant 242,242,Fluxicon Disco
Accepted-In Progress,complete,Amit-Org line C,2011-12-14 17:23:53+02:00,Accepted-In Progress,Amit,Org line C,1-623873811,Variant 242,242,Fluxicon Disco
Queued-Awaiting Assignment,complete,Jonas-Org line C,2011-12-14 17:36:41+02:00,Queued-Awaiting Assignment,Jonas,Org line C,1-623873811,Variant 242,242,Fluxicon Disco
Accepted-In Progress,complete,Stefan-Org line C,2011-12-15 10:02:54+02:00,Accepted-In Progress,Stefan,Org line C,1-623873811,Variant 242,242,Fluxicon Disco
Completed-Closed,complete,Stefan-Org line C,2011-12-15 10:05:32+02:00,Completed-Closed,Stefan,Org line C,1-623873811,Variant 242,242,Fluxicon Disco
Accepted-In Progress,complete,Stefan-Org line C,2011-12-15 10:14:19+02:00,Accepted-In Progress,Stefan,Org line C,1-623873811,Variant 242,242,Fluxicon Disco
Accepted-Assigned,complete,Kenneth-Org line C,2011-12-15 10:15:33+02:00,Accepted-Assigned,Kenneth,Org line C,1-623873811,Variant 242,242,Fluxicon Disco
Accepted-Wait,complete,Kenneth-Org line C,2011-12-15 12:19:48+02:00,Accepted-Wait,Kenneth,Org line C,1-623873811,Variant 242,242,Fluxicon Disco
Completed-Closed,complete,Kenneth-Org line C,2011-12-20 20:27:10+02:00,Completed-Closed,Kenneth,Org line C,1-623873811,Variant 242,242,Fluxicon Disco
Accepted-In Progress,complete,Kymaria-Org line C,2012-01-25 17:21:33+02:00,Accepted-In Progress,Kymaria,Org line C,1-623873811,Variant 242,242,Fluxicon Disco
Accepted-Wait,complete,Kymaria-Org line C,2012-01-25 17:23:52+02:00,Accepted-Wait,Kymaria,Org line C,1-623873811,Variant 242,242,Fluxicon Disco
Completed-Closed,complete,Kymaria-Org line C,2012-02-17 18:02:19+02:00,Completed-Closed,Kymaria,Org line C,1-623873811,Variant 242,242,Fluxicon Disco
Accepted-In Progress,complete,Maltesh-Org line B,2011-12-15 01:38:51+02:00,Accepted-In Progress,Maltesh,Org line B,1-624009613,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Maltesh-Org line B,2012-01-31 04:59:23+02:00,Completed-Closed,Maltesh,Org line B,1-624009613,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Rickard-Org line G4,2011-12-15 11:55:26+02:00,Accepted-In Progress,Rickard,Org line G4,1-624219528,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Rickard-Org line G4,2012-03-27 12:36:54+03:00,Completed-Closed,Rickard,Org line G4,1-624219528,Variant 1,1,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ward-Org line A2,2011-12-15 12:58:06+02:00,Queued-Awaiting Assignment,Ward,Org line A2,1-624305845,Variant 8,8,Fluxicon Disco
Accepted-In Progress,complete,Marijn-Org line A2,2012-01-06 11:12:12+02:00,Accepted-In Progress,Marijn,Org line A2,1-624305845,Variant 8,8,Fluxicon Disco
Completed-Closed,complete,Marijn-Org line A2,2012-01-06 11:17:05+02:00,Completed-Closed,Marijn,Org line A2,1-624305845,Variant 8,8,Fluxicon Disco
Accepted-In Progress,complete,Mikael-Org line C,2011-12-15 16:23:36+02:00,Accepted-In Progress,Mikael,Org line C,1-624450715,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Mikael-Org line C,2011-12-15 16:23:45+02:00,Accepted-Wait,Mikael,Org line C,1-624450715,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Mikael-Org line C,2012-03-30 15:07:57+03:00,Completed-Closed,Mikael,Org line C,1-624450715,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Amit-Org line C,2011-12-15 17:29:31+02:00,Accepted-In Progress,Amit,Org line C,1-624403918,Variant 243,243,Fluxicon Disco
Accepted-Wait,complete,Amit-Org line C,2011-12-15 18:30:21+02:00,Accepted-Wait,Amit,Org line C,1-624403918,Variant 243,243,Fluxicon Disco
Queued-Awaiting Assignment,complete,Amit-Org line C,2011-12-16 16:36:37+02:00,Queued-Awaiting Assignment,Amit,Org line C,1-624403918,Variant 243,243,Fluxicon Disco
Accepted-In Progress,complete,Irshad-Org line C,2012-01-10 13:21:21+02:00,Accepted-In Progress,Irshad,Org line C,1-624403918,Variant 243,243,Fluxicon Disco
Queued-Awaiting Assignment,complete,Prasad-Org line C,2012-01-10 14:26:31+02:00,Queued-Awaiting Assignment,Prasad,Org line C,1-624403918,Variant 243,243,Fluxicon Disco
Accepted-In Progress,complete,Ashwani-Org line C,2012-01-10 14:30:24+02:00,Accepted-In Progress,Ashwani,Org line C,1-624403918,Variant 243,243,Fluxicon Disco
Accepted-In Progress,complete,Manoj-Org line C,2012-01-12 11:03:42+02:00,Accepted-In Progress,Manoj,Org line C,1-624403918,Variant 243,243,Fluxicon Disco
Accepted-Wait,complete,Manoj-Org line C,2012-01-12 11:03:51+02:00,Accepted-Wait,Manoj,Org line C,1-624403918,Variant 243,243,Fluxicon Disco
Completed-Closed,complete,Manoj-Org line C,2012-03-15 16:45:21+02:00,Completed-Closed,Manoj,Org line C,1-624403918,Variant 243,243,Fluxicon Disco
Accepted-In Progress,complete,Manoj-Org line C,2012-03-15 16:45:30+02:00,Accepted-In Progress,Manoj,Org line C,1-624403918,Variant 243,243,Fluxicon Disco
Completed-Closed,complete,Manoj-Org line C,2012-03-15 16:54:45+02:00,Completed-Closed,Manoj,Org line C,1-624403918,Variant 243,243,Fluxicon Disco
Accepted-In Progress,complete,Mica-Org line C,2011-12-16 10:13:45+02:00,Accepted-In Progress,Mica,Org line C,1-624711258,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Mica-Org line C,2011-12-16 10:17:50+02:00,Queued-Awaiting Assignment,Mica,Org line C,1-624711258,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Mica-Org line C,2011-12-16 10:20:27+02:00,Accepted-In Progress,Mica,Org line C,1-624711258,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Mica-Org line C,2012-03-12 14:00:12+02:00,Completed-Closed,Mica,Org line C,1-624711258,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Rickard-Org line G4,2011-12-16 10:51:26+02:00,Accepted-In Progress,Rickard,Org line G4,1-624745314,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Rickard-Org line G4,2012-02-08 15:15:41+02:00,Completed-Closed,Rickard,Org line G4,1-624745314,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Alain-Org line C,2011-12-16 11:40:07+02:00,Accepted-In Progress,Alain,Org line C,1-624845426,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Alain-Org line C,2011-12-16 11:40:33+02:00,Queued-Awaiting Assignment,Alain,Org line C,1-624845426,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Alain-Org line C,2012-01-13 10:39:30+02:00,Accepted-In Progress,Alain,Org line C,1-624845426,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Alain-Org line C,2012-01-13 11:26:23+02:00,Completed-Closed,Alain,Org line C,1-624845426,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Olivier-Org line C,2011-12-17 13:18:28+02:00,Accepted-In Progress,Olivier,Org line C,1-625322174,Variant 9,9,Fluxicon Disco
Queued-Awaiting Assignment,complete,Olivier-Org line C,2011-12-17 13:19:36+02:00,Queued-Awaiting Assignment,Olivier,Org line C,1-625322174,Variant 9,9,Fluxicon Disco
Accepted-In Progress,complete,Tom-Org line C,2011-12-22 15:52:39+02:00,Accepted-In Progress,Tom,Org line C,1-625322174,Variant 9,9,Fluxicon Disco
Accepted-Wait,complete,Tom-Org line C,2011-12-22 15:52:47+02:00,Accepted-Wait,Tom,Org line C,1-625322174,Variant 9,9,Fluxicon Disco
Completed-Closed,complete,Tom-Org line C,2012-04-16 15:55:11+03:00,Completed-Closed,Tom,Org line C,1-625322174,Variant 9,9,Fluxicon Disco
Accepted-In Progress,complete,Britt-Org line A2,2011-12-19 04:13:32+02:00,Accepted-In Progress,Britt,Org line A2,1-625459293,Variant 9,9,Fluxicon Disco
Queued-Awaiting Assignment,complete,Britt-Org line A2,2011-12-19 04:14:22+02:00,Queued-Awaiting Assignment,Britt,Org line A2,1-625459293,Variant 9,9,Fluxicon Disco
Accepted-In Progress,complete,Britt-Org line A2,2012-01-05 15:08:46+02:00,Accepted-In Progress,Britt,Org line A2,1-625459293,Variant 9,9,Fluxicon Disco
Accepted-Wait,complete,Britt-Org line A2,2012-01-05 15:25:39+02:00,Accepted-Wait,Britt,Org line A2,1-625459293,Variant 9,9,Fluxicon Disco
Completed-Closed,complete,Britt-Org line A2,2012-01-19 17:33:55+02:00,Completed-Closed,Britt,Org line A2,1-625459293,Variant 9,9,Fluxicon Disco
Accepted-In Progress,complete,Kwewat-Org line B,2011-12-19 09:49:47+02:00,Accepted-In Progress,Kwewat,Org line B,1-625634702,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Kwewat-Org line B,2011-12-19 10:13:42+02:00,Accepted-Wait,Kwewat,Org line B,1-625634702,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Kwewat-Org line B,2012-01-18 06:53:58+02:00,Completed-Closed,Kwewat,Org line B,1-625634702,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Kwewat-Org line B,2011-12-19 09:57:11+02:00,Accepted-In Progress,Kwewat,Org line B,1-625634824,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Kwewat-Org line B,2011-12-19 10:13:17+02:00,Accepted-Wait,Kwewat,Org line B,1-625634824,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Kwewat-Org line B,2012-01-20 09:24:03+02:00,Completed-Closed,Kwewat,Org line B,1-625634824,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Kim-Org line C,2011-12-19 10:00:43+02:00,Accepted-In Progress,Kim,Org line C,1-625646775,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Kim-Org line C,2012-02-01 10:56:47+02:00,Completed-Closed,Kim,Org line C,1-625646775,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Kwewat-Org line B,2011-12-19 10:03:01+02:00,Accepted-In Progress,Kwewat,Org line B,1-625634936,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Kwewat-Org line B,2011-12-19 10:12:46+02:00,Accepted-Wait,Kwewat,Org line B,1-625634936,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Kwewat-Org line B,2012-04-09 06:19:42+03:00,Completed-Closed,Kwewat,Org line B,1-625634936,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Per-Org line A2,2011-12-19 10:09:42+02:00,Accepted-In Progress,Per,Org line A2,1-625628532,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Per-Org line A2,2012-04-20 10:23:30+03:00,Completed-Closed,Per,Org line A2,1-625628532,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Nicolas-Org line C,2011-12-19 16:15:13+02:00,Accepted-In Progress,Nicolas,Org line C,1-626102521,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Nicolas-Org line C,2012-03-19 16:29:08+02:00,Completed-Closed,Nicolas,Org line C,1-626102521,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Henrik-Org line C,2011-12-19 18:02:25+02:00,Accepted-In Progress,Henrik,Org line C,1-626212681,Variant 7,7,Fluxicon Disco
Accepted-Wait,complete,Henrik-Org line C,2012-01-04 12:26:26+02:00,Accepted-Wait,Henrik,Org line C,1-626212681,Variant 7,7,Fluxicon Disco
Accepted-In Progress,complete,Henrik-Org line C,2012-02-20 11:32:17+02:00,Accepted-In Progress,Henrik,Org line C,1-626212681,Variant 7,7,Fluxicon Disco
Completed-Closed,complete,Henrik-Org line C,2012-02-20 11:35:33+02:00,Completed-Closed,Henrik,Org line C,1-626212681,Variant 7,7,Fluxicon Disco
Accepted-In Progress,complete,Vaibhav-Org line C,2011-12-20 02:48:36+02:00,Accepted-In Progress,Vaibhav,Org line C,1-626292231,Variant 244,244,Fluxicon Disco
Accepted-In Progress,complete,Vaibhav-Org line C,2011-12-20 02:49:14+02:00,Accepted-In Progress,Vaibhav,Org line C,1-626292231,Variant 244,244,Fluxicon Disco
Accepted-Wait,complete,Vaibhav-Org line C,2012-02-07 20:48:51+02:00,Accepted-Wait,Vaibhav,Org line C,1-626292231,Variant 244,244,Fluxicon Disco
Completed-Closed,complete,Vaibhav-Org line C,2012-05-28 12:50:17+03:00,Completed-Closed,Vaibhav,Org line C,1-626292231,Variant 244,244,Fluxicon Disco
Accepted-In Progress,complete,Vaibhav-Org line C,2012-05-28 13:04:15+03:00,Accepted-In Progress,Vaibhav,Org line C,1-626292231,Variant 244,244,Fluxicon Disco
Completed-Closed,complete,Vaibhav-Org line C,2012-05-28 13:06:04+03:00,Completed-Closed,Vaibhav,Org line C,1-626292231,Variant 244,244,Fluxicon Disco
Accepted-In Progress,complete,Karin-Org line A2,2011-12-20 09:59:29+02:00,Accepted-In Progress,Karin,Org line A2,1-626462354,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Karin-Org line A2,2012-02-02 11:43:55+02:00,Accepted-Wait,Karin,Org line A2,1-626462354,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Karin-Org line A2,2012-04-17 12:02:51+03:00,Completed-Closed,Karin,Org line A2,1-626462354,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Lisbeth-Org line A2,2011-12-20 10:39:32+02:00,Accepted-In Progress,Lisbeth,Org line A2,1-626510640,Variant 49,49,Fluxicon Disco
Accepted-Wait,complete,Lisbeth-Org line A2,2011-12-20 11:03:49+02:00,Accepted-Wait,Lisbeth,Org line A2,1-626510640,Variant 49,49,Fluxicon Disco
Accepted-In Progress,complete,Lisbeth-Org line A2,2011-12-20 15:19:22+02:00,Accepted-In Progress,Lisbeth,Org line A2,1-626510640,Variant 49,49,Fluxicon Disco
Accepted-Wait,complete,Lisbeth-Org line A2,2011-12-21 11:40:49+02:00,Accepted-Wait,Lisbeth,Org line A2,1-626510640,Variant 49,49,Fluxicon Disco
Accepted-In Progress,complete,Lisbeth-Org line A2,2012-02-02 09:45:56+02:00,Accepted-In Progress,Lisbeth,Org line A2,1-626510640,Variant 49,49,Fluxicon Disco
Accepted-Wait,complete,Lisbeth-Org line A2,2012-02-02 14:44:11+02:00,Accepted-Wait,Lisbeth,Org line A2,1-626510640,Variant 49,49,Fluxicon Disco
Accepted-In Progress,complete,Lisbeth-Org line A2,2012-02-02 15:37:55+02:00,Accepted-In Progress,Lisbeth,Org line A2,1-626510640,Variant 49,49,Fluxicon Disco
Completed-Closed,complete,Lisbeth-Org line A2,2012-02-02 15:39:10+02:00,Completed-Closed,Lisbeth,Org line A2,1-626510640,Variant 49,49,Fluxicon Disco
Accepted-In Progress,complete,Ian-Org line A2,2011-12-20 15:07:40+02:00,Accepted-In Progress,Ian,Org line A2,1-626515794,Variant 32,32,Fluxicon Disco
Accepted-Assigned,complete,Ian-Org line A2,2011-12-20 15:26:59+02:00,Accepted-Assigned,Ian,Org line A2,1-626515794,Variant 32,32,Fluxicon Disco
Accepted-Assigned,complete,Ian-Org line A2,2011-12-23 16:33:36+02:00,Accepted-Assigned,Ian,Org line A2,1-626515794,Variant 32,32,Fluxicon Disco
Accepted-In Progress,complete,Andrew-Org line A2,2012-01-06 15:12:19+02:00,Accepted-In Progress,Andrew,Org line A2,1-626515794,Variant 32,32,Fluxicon Disco
Completed-Closed,complete,Andrew-Org line A2,2012-01-06 15:13:30+02:00,Completed-Closed,Andrew,Org line A2,1-626515794,Variant 32,32,Fluxicon Disco
Accepted-In Progress,complete,Gregory-Org line A2,2011-12-20 15:43:16+02:00,Accepted-In Progress,Gregory,Org line A2,1-626760391,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Gregory-Org line A2,2012-01-12 18:33:11+02:00,Accepted-In Progress,Gregory,Org line A2,1-626760391,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Gregory-Org line A2,2012-01-12 18:33:48+02:00,Completed-Closed,Gregory,Org line A2,1-626760391,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Cyril-Org line A2,2011-12-20 17:25:10+02:00,Accepted-In Progress,Cyril,Org line A2,1-626834451,Variant 10,10,Fluxicon Disco
Accepted-Assigned,complete,Cyril-Org line A2,2011-12-20 17:26:35+02:00,Accepted-Assigned,Cyril,Org line A2,1-626834451,Variant 10,10,Fluxicon Disco
Completed-Closed,complete,Cyril-Org line A2,2012-02-01 13:03:13+02:00,Completed-Closed,Cyril,Org line A2,1-626834451,Variant 10,10,Fluxicon Disco
Accepted-In Progress,complete,Arnaud-Org line C,2011-12-21 08:14:19+02:00,Accepted-In Progress,Arnaud,Org line C,1-627163101,Variant 245,245,Fluxicon Disco
Accepted-Wait,complete,Arnaud-Org line C,2012-01-18 13:17:47+02:00,Accepted-Wait,Arnaud,Org line C,1-627163101,Variant 245,245,Fluxicon Disco
Accepted-In Progress,complete,Arnaud-Org line C,2012-02-01 13:23:43+02:00,Accepted-In Progress,Arnaud,Org line C,1-627163101,Variant 245,245,Fluxicon Disco
Accepted-In Progress,complete,Arnaud-Org line C,2012-04-12 12:35:52+03:00,Accepted-In Progress,Arnaud,Org line C,1-627163101,Variant 245,245,Fluxicon Disco
Accepted-In Progress,complete,Bruno-Org line C,2012-04-19 15:28:17+03:00,Accepted-In Progress,Bruno,Org line C,1-627163101,Variant 245,245,Fluxicon Disco
Completed-Closed,complete,Bruno-Org line C,2012-05-09 11:32:27+03:00,Completed-Closed,Bruno,Org line C,1-627163101,Variant 245,245,Fluxicon Disco
Accepted-In Progress,complete,Kymaria-Org line C,2011-12-21 10:06:12+02:00,Accepted-In Progress,Kymaria,Org line C,1-627190551,Variant 246,246,Fluxicon Disco
Completed-Closed,complete,Kymaria-Org line C,2011-12-21 10:13:03+02:00,Completed-Closed,Kymaria,Org line C,1-627190551,Variant 246,246,Fluxicon Disco
Accepted-In Progress,complete,Kymaria-Org line C,2011-12-29 10:47:16+02:00,Accepted-In Progress,Kymaria,Org line C,1-627190551,Variant 246,246,Fluxicon Disco
Accepted-Wait,complete,Kymaria-Org line C,2011-12-29 10:47:23+02:00,Accepted-Wait,Kymaria,Org line C,1-627190551,Variant 246,246,Fluxicon Disco
Accepted-In Progress,complete,Kymaria-Org line C,2012-01-18 17:22:21+02:00,Accepted-In Progress,Kymaria,Org line C,1-627190551,Variant 246,246,Fluxicon Disco
Accepted-Wait,complete,Kymaria-Org line C,2012-01-18 17:31:17+02:00,Accepted-Wait,Kymaria,Org line C,1-627190551,Variant 246,246,Fluxicon Disco
Completed-Closed,complete,Kymaria-Org line C,2012-02-10 11:28:45+02:00,Completed-Closed,Kymaria,Org line C,1-627190551,Variant 246,246,Fluxicon Disco
Accepted-In Progress,complete,Valter-Org line A2,2011-12-21 11:39:43+02:00,Accepted-In Progress,Valter,Org line A2,1-627336700,Variant 6,6,Fluxicon Disco
Accepted-Assigned,complete,Valter-Org line A2,2011-12-21 11:40:06+02:00,Accepted-Assigned,Valter,Org line A2,1-627336700,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,Valter-Org line A2,2012-01-30 15:18:50+02:00,Accepted-In Progress,Valter,Org line A2,1-627336700,Variant 6,6,Fluxicon Disco
Completed-Closed,complete,Valter-Org line A2,2012-01-30 15:18:51+02:00,Completed-Closed,Valter,Org line A2,1-627336700,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,Alex-Org line C,2011-12-21 12:13:58+02:00,Accepted-In Progress,Alex,Org line C,1-627337013,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Alex-Org line C,2012-01-26 15:12:53+02:00,Accepted-In Progress,Alex,Org line C,1-627337013,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Alex-Org line C,2012-03-01 16:37:25+02:00,Completed-Closed,Alex,Org line C,1-627337013,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Grzegorz-Org line A2,2011-12-21 15:33:20+02:00,Accepted-In Progress,Grzegorz,Org line A2,1-627532005,Variant 14,14,Fluxicon Disco
Accepted-Assigned,complete,Grzegorz-Org line A2,2011-12-21 15:33:49+02:00,Accepted-Assigned,Grzegorz,Org line A2,1-627532005,Variant 14,14,Fluxicon Disco
Accepted-Wait,complete,Grzegorz-Org line A2,2012-01-09 15:52:30+02:00,Accepted-Wait,Grzegorz,Org line A2,1-627532005,Variant 14,14,Fluxicon Disco
Completed-Closed,complete,Grzegorz-Org line A2,2012-04-23 14:38:19+03:00,Completed-Closed,Grzegorz,Org line A2,1-627532005,Variant 14,14,Fluxicon Disco
Accepted-In Progress,complete,Lauro-Org line A2,2011-12-21 15:57:20+02:00,Accepted-In Progress,Lauro,Org line A2,1-627557462,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Lauro-Org line A2,2011-12-21 15:58:06+02:00,Accepted-In Progress,Lauro,Org line A2,1-627557462,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Lauro-Org line A2,2012-02-01 14:51:37+02:00,Completed-Closed,Lauro,Org line A2,1-627557462,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Leif-Org line C,2011-12-21 16:43:03+02:00,Accepted-In Progress,Leif,Org line C,1-627630611,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Leif-Org line C,2011-12-21 16:46:04+02:00,Queued-Awaiting Assignment,Leif,Org line C,1-627630611,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Anil-Org line C,2011-12-23 10:36:20+02:00,Accepted-In Progress,Anil,Org line C,1-627630611,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Anil-Org line C,2012-01-10 14:49:48+02:00,Completed-Closed,Anil,Org line C,1-627630611,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Bertil-Org line A2,2011-12-22 11:03:52+02:00,Accepted-In Progress,Bertil,Org line A2,1-627936524,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Bertil-Org line A2,2012-04-23 12:20:55+03:00,Completed-Closed,Bertil,Org line A2,1-627936524,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line V2,2011-12-22 11:26:34+02:00,Accepted-In Progress,Tomas,Org line V2,1-627980711,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Tomas-Org line V2,2012-02-01 16:40:27+02:00,Completed-Closed,Tomas,Org line V2,1-627980711,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Rafal-Org line A2,2011-12-22 12:00:33+02:00,Accepted-In Progress,Rafal,Org line A2,1-627878397,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Rafal-Org line A2,2012-05-29 14:37:20+03:00,Accepted-In Progress,Rafal,Org line A2,1-627878397,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Rafal-Org line A2,2012-05-29 14:38:04+03:00,Completed-Closed,Rafal,Org line A2,1-627878397,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Vikrant-Org line A2,2011-12-22 14:59:52+02:00,Accepted-In Progress,Vikrant,Org line A2,1-628078553,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Vikrant-Org line A2,2012-04-19 18:42:44+03:00,Completed-Closed,Vikrant,Org line A2,1-628078553,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Ing-Marie-Org line G4,2011-12-22 15:57:58+02:00,Accepted-In Progress,Ing-Marie,Org line G4,1-628105478,Variant 6,6,Fluxicon Disco
Accepted-Assigned,complete,Ing-Marie-Org line G4,2012-02-02 13:54:54+02:00,Accepted-Assigned,Ing-Marie,Org line G4,1-628105478,Variant 6,6,Fluxicon Disco
